grade,token_count,row
1.0,136568,20
1.0,155678,31
1.0,135351,1
1.0,162903,15
0.9681081081081081,146252,0
1.0,140596,23
0.8555917480998915,160903,7
0.06486486486486487,153880,33
0.8739562624254473,148878,25
1.0,168672,22
1.0,130944,35
0.04108858057630736,168246,36
1.0,149655,28
0.7226061204343535,148773,44
0.037462537462537464,143742,50
1.0,151966,41
1.0,140599,67
0.9968297101449275,161247,63
0.013709361535448493,159588,51
0.07497917245209663,139413,53
0.0217296827466319,165663,61
0.2019285309132161,145077,76
1.0,163160,65
0.818087318087318,136442,78
1.0,130859,75
0.041251133272892114,131162,73
1.0,152301,80
0.9431299294312993,163915,72
1.0,25757,100
1.0,140751,90
0.9800504471451502,145176,93
0.9996475149806133,138656,98
1.0,26843,101
1.0,30219,104
0.049002849002849,168459,96
0.9778812572759022,26455,103
0.07023411371237458,142294,94
1.0,19162,102
1.0,16043,106
1.0,165501,91
1.0,25636,107
1.0,17882,108
1.0,22361,110
1.0,20924,114
1.0,19809,105
1.0,30419,109
1.0,18230,112
1.0,28985,115
1.0,29678,111
1.0,20114,113
1.0,20454,116
1.0,26253,118
1.0,26808,120
1.0,31843,127
1.0,17549,117
1.0,23330,124
1.0,22266,119
1.0,26822,121
1.0,29980,123
1.0,28532,131
1.0,29503,122
1.0,18472,126
1.0,29121,128
1.0,27469,133
0.9906880496637351,16165,125
1.0,20301,134
0.11072664359861592,27937,135
1.0,28252,130
1.0,20374,132
1.0,19604,129
1.0,20024,139
1.0,18598,141
1.0,30291,136
1.0,29296,140
1.0,25454,143
1.0,29897,142
1.0,23547,138
1.0,21119,146
1.0,30950,145
1.0,25176,137
1.0,22477,148
1.0,17898,149
0.9724061810154525,25872,147
1.0,30290,155
1.0,23628,150
1.0,25879,144
1.0,28404,151
1.0,27929,152
1.0,24563,156
1.0,27786,154
1.0,20487,161
1.0,30934,153
1.0,29255,162
1.0,29191,158
1.0,23387,163
0.15010570824524314,25953,160
1.0,16769,157
1.0,16866,166
1.0,23076,164
1.0,18177,168
1.0,23740,159
1.0,30146,167
1.0,20013,171
1.0,29549,165
1.0,20092,172
1.0,15788,170
1.0,21822,169
1.0,17756,173
1.0,28236,176
1.0,28576,175
1.0,24189,174
1.0,31526,182
1.0,29776,178
1.0,24217,177
1.0,27672,181
1.0,29118,187
1.0,28525,184
0.07209117413199045,25118,186
1.0,23603,180
1.0,21891,183
1.0,19119,179
1.0,20450,185
1.0,18345,189
1.0,21542,191
1.0,26516,193
1.0,16311,190
1.0,30805,196
1.0,28342,197
1.0,24566,188
1.0,28593,199
1.0,23705,194
1.0,51735,300
1.0,29979,195
0.9033902625541678,28930,192
0.029274369355341015,47402,304
0.04524033930254477,17425,198
1.0,44802,303
1.0,60245,301
1.0,36352,302
1.0,50214,309
1.0,47310,305
1.0,55167,308
1.0,37221,306
1.0,57499,314
0.04146249528835281,38824,310
1.0,52152,312
0.9157054125998225,59561,311
0.1608256288970114,39654,318
1.0,53507,307
1.0,32819,315
0.15023923444976076,44463,313
1.0,55101,322
1.0,41873,319
1.0,40259,320
0.9964634907426669,35028,317
1.0,55550,325
1.0,52676,321
1.0,37658,323
1.0,46496,326
1.0,51376,324
1.0,47186,316
1.0,44288,329
1.0,62530,328
1.0,63271,327
1.0,43969,331
0.9977046671767407,52261,333
1.0,59552,332
1.0,39204,334
1.0,46105,330
1.0,34794,337
1.0,54987,340
1.0,35794,339
1.0,63408,336
1.0,34900,344
0.9993712668972021,31856,338
1.0,57755,345
1.0,40417,348
1.0,55142,335
1.0,45818,341
1.0,36605,343
0.03853383458646616,32396,349
1.0,49558,346
1.0,56754,347
1.0,56296,352
1.0,49385,342
1.0,43216,351
1.0,40398,357
1.0,55254,350
1.0,63180,355
1.0,39556,353
1.0,46082,354
1.0,49281,361
1.0,51100,359
1.0,48140,356
