grade,token_count,row,prompt_char_count,real_prompt_tokens,updated_token_ratio
0.995,30757,136,127480,30757,0.2566521599439203
1.0,21675,135,89432,21675,0.2566521599439203
0.2572678157962439,27380,127,118598,27380,0.2566521599439203
0.9977064220183486,33188,105,139036,33188,0.2566521599439203
1.0,29263,115,122517,29263,0.2566521599439203
0.9993364299933643,35132,128,148677,35132,0.2566521599439203
0.998003992015968,25129,104,108152,25129,0.2566521599439203
1.0,28074,129,117084,28074,0.2566521599439203
0.9976325757575758,152914,32,646549,152914,0.23936284198488122
0.9974619289340102,158235,87,673594,158235,0.23936284198488122
0.9978401727861771,26328,121,106019,26328,0.23936284198488122
0.4754973313925279,34053,101,141221,34053,0.23936284198488122
1.0,18527,102,77461,18527,0.23936284198488122
1.0,23449,110,103337,23449,0.23936284198488122
1.0,36715,133,145851,36715,0.23936284198488122
1.0,36745,113,151163,36745,0.23936284198488122
1.0,157838,56,661992,157838,0.23936284198488122
0.9973591549295775,27394,118,118920,27394,0.23936284198488122
0.9992217898832685,20042,100,84842,20042,0.2391962947074572
1.0,26975,126,110839,26975,0.2391962947074572
1.0,20028,109,85124,20028,0.2391962947074572
1.0,32682,125,140014,32682,0.2391962947074572
0.9995224450811844,24411,111,104652,24411,0.2391962947074572
1.0,34797,116,150731,34797,0.2391962947074572
1.0,28538,112,117279,28538,0.2391962947074572
0.9753694581280788,22989,107,97342,22989,0.2391962947074572
1.0,27236,131,107863,27236,0.2391962947074572
0.9996003197442046,23496,114,101435,23496,0.2391962947074572
1.0,21280,132,86581,21280,0.2389845003772117
0.31959629941127,156548,45,664473,156548,0.2389845003772117
0.010067114093959731,157893,7,663528,157893,0.2389845003772117
1.0,25485,123,107751,25485,0.2389845003772117
1.0,164857,33,700681,164857,0.2389845003772117
0.9992369324685234,31462,108,135535,31462,0.2389845003772117
1.0,19505,124,89283,19505,0.2389845003772117
0.9996661101836394,32046,119,137795,32046,0.2389845003772117
1.0,33935,137,148777,33935,0.2389845003772117
0.05192833282720923,17811,103,81071,17811,0.2389845003772117
1.0,21924,117,96203,21924,0.23684326467769398
1.0,29958,122,125080,29958,0.23684326467769398
0.9991003148897886,19851,130,85001,19851,0.23684326467769398
0.9996613613274636,20275,134,86772,20275,0.23684326467769398
1.0,160343,70,672697,160343,0.23684326467769398
1.0,35918,106,150755,35918,0.23684326467769398
0.9948914431673053,18361,152,76524,18361,0.23684326467769398
0.9906617945594803,159664,64,672328,159664,0.23684326467769398
0.9996819338422391,161608,48,682583,161608,0.23684326467769398
0.9988636363636364,27077,149,110613,27077,0.23684326467769398
0.9329268292682927,151722,71,648366,151722,0.23700048648436278
1.0,24025,139,103797,24025,0.23700048648436278
1.0,20325,164,84298,20325,0.23700048648436278
1.0,26813,155,113718,26813,0.23700048648436278
0.27452316076294275,27052,154,111431,27052,0.23700048648436278
0.9325236167341431,23280,159,92954,23280,0.23700048648436278
1.0,19302,144,83155,19302,0.23700048648436278
0.9874411302982732,30991,143,128212,30991,0.23700048648436278
1.0,35358,138,155569,35358,0.23700048648436278
1.0,150843,78,630630,150843,0.23700048648436278
1.0,29322,168,119330,29322,0.23729384414814667
1.0,26669,166,115089,26669,0.23729384414814667
1.0,35088,142,153491,35088,0.23729384414814667
0.99833748960931,32313,150,134009,32313,0.23729384414814667
0.9970414201183432,20123,169,81455,20123,0.23729384414814667
0.9980833732630571,157927,57,666248,157927,0.23729384414814667
1.0,33769,141,143056,33769,0.23729384414814667
1.0,18361,147,79390,18361,0.23729384414814667
0.9995557529986673,28688,156,123779,28688,0.23729384414814667
1.0,25093,145,109313,25093,0.23729384414814667
1.0,21650,186,90822,21650,0.2370027603664589
1.0,20665,182,87931,20665,0.2370027603664589
1.0,33392,157,140298,33392,0.2370027603664589
1.0,25574,148,107180,25574,0.2370027603664589
0.9782608695652174,33517,170,139411,33517,0.2370027603664589
0.9974640743871513,31297,140,133065,31297,0.2370027603664589
0.9815515610217597,22961,160,91041,22961,0.2370027603664589
0.9989106753812637,20191,171,81166,20191,0.2370027603664589
0.2271276595744681,31934,158,140615,31934,0.2370027603664589
1.0,23503,174,98709,23503,0.2370027603664589
1.0,30873,146,125279,30873,0.23737561527500586
0.9683284457478006,24323,179,104258,24323,0.23737561527500586
0.9995208433157643,159225,88,684263,159225,0.23737561527500586
1.0,34768,153,149166,34768,0.23737561527500586
1.0,25236,161,111526,25236,0.23737561527500586
0.9994614970382337,24593,167,106865,24593,0.23737561527500586
1.0,20507,175,80421,20507,0.23737561527500586
0.9872448979591837,27365,163,111917,27365,0.23737561527500586
0.008598452278589854,34065,189,144628,34065,0.23737561527500586
1.0,20101,177,79819,20101,0.23737561527500586
1.0,27618,183,116238,27618,0.23744452973066402
0.9989759344598055,34523,173,147795,34523,0.23744452973066402
0.9970796829370046,18374,162,73412,18374,0.23744452973066402
0.15286080273270708,31431,178,135199,31431,0.23744452973066402
1.0,32704,190,132094,32704,0.23744452973066402
1.0,23445,185,101126,23445,0.23744452973066402
0.023529411764705882,21498,180,91779,21498,0.23744452973066402
0.9844357976653697,24190,176,104246,24190,0.23744452973066402
0.9967051070840197,42809,311,185203,42809,0.23744452973066402
1.0,33980,197,144861,33980,0.23744452973066402
0.998869204673954,18611,151,77617,18611,0.23737560943774952
0.9952380952380953,39756,306,166642,39756,0.23737560943774952
1.0,35311,165,152171,35311,0.23737560943774952
0.9746835443037974,73614,315,310765,73614,0.23737560943774952
0.9066410009624639,30566,172,123440,30566,0.23737560943774952
1.0,30888,188,132921,30888,0.23737560943774952
1.0,26478,184,112906,26478,0.23737560943774952
0.5477497255762898,44179,300,187664,44179,0.23737560943774952
0.9889901290812453,24771,181,97640,24771,0.23737560943774952
0.9989583333333333,57872,308,245300,57872,0.23737560943774952
0.9973208305425318,64583,303,273584,64583,0.23746063416886162
1.0,54539,316,229024,54539,0.23746063416886162
1.0,26325,194,119360,26325,0.23746063416886162
0.06445755787562416,26536,195,109236,26536,0.23746063416886162
1.0,20754,192,90927,20754,0.23746063416886162
1.0,34667,191,141613,34667,0.23746063416886162
1.0,33808,196,149639,33808,0.23746063416886162
1.0,26842,187,118132,26842,0.23746063416886162
0.11223203026481715,47994,309,201408,47994,0.23746063416886162
1.0,44241,307,184100,44241,0.23746063416886162
0.9987102321582115,20050,198,85809,20050,0.23717285453798082
1.0,30748,193,130611,30748,0.23717285453798082
0.11214310285517716,42932,317,183380,42932,0.23717285453798082
0.9993065187239945,41808,312,177800,41808,0.23717285453798082
1.0,22672,199,97598,22672,0.23717285453798082
0.9980744544287549,37858,314,154034,37858,0.23717285453798082
1.0,44911,330,191027,44911,0.23717285453798082
0.9997986712301188,57369,310,253056,57369,0.23717285453798082
1.0,60747,318,260119,60747,0.23717285453798082
1.0,49644,342,212328,49644,0.23717285453798082
1.0,67320,304,288308,67320,0.2369703299958019
1.0,65050,305,282971,65050,0.2369703299958019
0.9603749467405198,66111,302,286729,66111,0.2369703299958019
1.0,48952,321,209804,48952,0.2369703299958019
0.014973262032085561,61166,320,266702,61166,0.2369703299958019
0.9770114942528736,51573,347,217874,51573,0.2369703299958019
1.0,45130,339,194662,45130,0.2369703299958019
1.0,41035,337,176456,41035,0.2369703299958019
1.0,68450,323,295128,68450,0.2369703299958019
1.0,44393,335,191876,44393,0.2369703299958019
0.10233222275107091,56790,324,242331,56790,0.2366285953513715
0.9992236024844721,62118,343,262723,62118,0.2366285953513715
0.9967051070840197,69253,327,297500,69253,0.2366285953513715
0.9993238674780257,54006,340,224896,54006,0.2366285953513715
0.997677659080353,58384,325,244435,58384,0.2366285953513715
1.0,64696,350,275763,64696,0.2366285953513715
0.9808999676270638,59700,313,246113,59700,0.2366285953513715
1.0,70329,351,301787,70329,0.2366285953513715
1.0,64597,334,274948,64597,0.2366285953513715
0.9808917197452229,55924,358,237503,55924,0.2366285953513715
0.9978929624947324,66319,326,278793,66319,0.2366314994610492
1.0,41741,332,184864,41741,0.2366314994610492
0.12710566615620214,46224,355,199790,46224,0.2366314994610492
0.9404940923737917,72028,322,304242,72028,0.2366314994610492
1.0,69068,329,299185,69068,0.2366314994610492
1.0,56011,331,238316,56011,0.2366314994610492
0.22964790311729089,63027,328,264184,63027,0.2366314994610492
0.9979423868312757,37710,344,155381,37710,0.2366314994610492
0.04519230769230769,54112,354,228654,54112,0.2366314994610492
0.9925925925925926,48410,333,212220,48410,0.2366314994610492
0.09619616472807294,50717,360,216882,50717,0.23646492336917335
1.0,58725,338,247263,58725,0.23646492336917335
1.0,63765,336,269914,63765,0.23646492336917335
1.0,49247,370,211666,49247,0.23646492336917335
0.9935567010309279,45135,345,184822,45135,0.23646492336917335
1.0,67539,368,287802,67539,0.23646492336917335
