grade,token_count,row
0.9996557659208262,168353,29
0.07740825688073394,218534,18
0.9,223148,16
0.9989816700610998,223041,21
1.0,146966,20
0.9976878612716763,170124,27
1.0,179978,8
0.9991485738612176,157070,14
1.0,209440,12
1.0,178335,13
1.0,147009,0
1.0,184150,19
1.0,176580,35
0.9991356957649092,231400,4
1.0,179964,11
0.9976325757575758,136222,32
1.0,201013,25
1.0,157122,1
0.014858841010401188,198081,44
1.0,183265,38
1.0,200560,22
0.9984010233450592,187177,9
0.31959629941127,138466,45
1.0,205142,26
1.0,209022,28
0.9983108108108109,175009,34
1.0,228061,3
1.0,221834,2
1.0,225149,41
1.0,146572,33
1.0,176547,37
1.0,202890,30
1.0,179481,46
1.0,194600,15
1.0,195419,31
0.9995881383855024,221970,42
1.0,191386,52
0.9996819338422391,143459,48
1.0,162572,50
1.0,224979,77
1.0,210099,24
0.9906617945594803,142001,64
0.9329268292682927,135666,71
1.0,207198,73
0.9993876301285977,180700,76
0.9980833732630571,140785,57
0.9983012457531144,183597,68
1.0,142173,70
0.023622047244094488,184349,10
0.9428928720300125,207725,62
0.03486120077469335,140358,56
0.9995848899958489,226713,47
1.0,212508,53
0.9952,177570,84
1.0,195322,72
0.10777016969336112,233985,83
1.0,213702,86
0.03519798868636078,154307,74
1.0,133982,78
0.9783484390735147,226160,85
1.0,182596,60
1.0,184500,55
0.9992217898832685,17780,100
0.9552845528455285,147740,94
1.0,192717,75
0.9847422680412371,151976,82
0.9988188976377953,219386,95
1.0,203830,80
1.0,20558,107
0.11116777154513004,209619,39
0.999288256227758,171291,96
1.0,198209,99
1.0,30256,101
1.0,205739,81
0.4076923076923077,140346,7
0.01799417835406192,225839,54
1.0,194437,93
1.0,220503,92
0.9973591549295775,24173,118
1.0,32158,106
1.0,17745,109
1.0,16482,102
0.030754444978375782,141505,87
1.0,27228,120
1.0,226120,91
1.0,191541,79
1.0,141861,88
1.0,25845,115
1.0,16019,103
1.0,19539,117
0.06162653645394848,159801,89
1.0,22214,104
1.0,29358,125
1.0,31063,116
0.995,27296,136
1.0,21041,110
1.0,17579,124
1.0,197925,17
1.0,28021,108
1.0,19316,135
1.0,18967,132
1.0,31254,128
1.0,23949,131
1.0,32638,113
1.0,25326,112
1.0,20935,114
1.0,30521,137
1.0,28601,119
1.0,32410,133
1.0,22705,123
1.0,30006,141
1.0,31504,138
0.99833748960931,28688,150
1.0,23355,121
1.0,210264,5
1.0,21883,111
0.9974640743871513,27919,140
1.0,21310,139
1.0,17320,144
0.9995557529986673,25448,156
1.0,27360,143
1.0,24021,149
1.0,22810,148
1.0,23815,126
0.9948914431673053,16344,152
1.0,31402,142
1.0,16351,147
1.0,17999,134
1.0,24056,154
0.9990817263544536,29805,105
1.0,27324,146
1.0,23872,155
1.0,24940,129
1.0,22241,161
0.9990995047276002,17649,130
1.0,29742,157
1.0,28539,158
1.0,22422,145
0.9989106753812637,18036,171
1.0,29699,170
1.0,26584,122
1.0,21961,167
1.0,17986,164
0.9990567817392945,16701,151
1.0,31043,153
1.0,20456,159
1.0,20867,174
0.017543859649122806,24710,183
1.0,17785,177
1.0,28932,190
0.9066410009624639,27280,172
0.023529411764705882,19081,180
1.0,20645,160
1.0,27990,178
0.25771604938271603,24507,127
1.0,31255,165
1.0,23774,166
1.0,16343,162
1.0,21477,176
1.0,23493,184
1.0,24005,187
1.0,24392,163
1.0,21852,179
0.06626833242802825,18134,175
1.0,18490,192
1.0,26006,168
1.0,17990,169
1.0,27230,193
1.0,20826,185
0.4579524680073126,23680,195
1.0,30125,196
1.0,30790,173
1.0,31023,191
1.0,23521,194
0.09172097513878832,30327,189
1.0,27493,188
1.0,22064,181
1.0,20296,199
1.0,18514,182
1.0,19308,186
1.0,30382,197
0.5477497255762898,39354,300
1.0,17996,198
0.9973208305425318,57685,303
1.0,38125,311
0.11214310285517716,38234,317
1.0,65594,315
1.0,54207,318
0.9989583333333333,51444,308
1.0,51077,310
1.0,59546,304
1.0,48573,316
0.9603749467405198,58767,302
0.9404940923737917,64118,322
1.0,42616,309
0.9980744544287549,33435,314
0.9952380952380953,35313,306
0.15472679965307892,59617,301
0.05454545454545454,52039,325
0.9808999676270638,53406,313
1.0,57637,334
0.9967051070840197,61678,327
1.0,40062,330
1.0,36425,337
1.0,61430,329
1.0,56152,328
1.0,37058,332
1.0,39125,307
1.0,36983,312
1.0,39486,335
1.0,60924,323
1.0,56695,336
1.0,49855,331
0.9993238674780257,48098,340
1.0,40202,339
1.0,59235,326
0.9935567010309279,40190,345
0.13524877365101612,62707,351
0.9992236024844721,55264,343
1.0,41114,355
1.0,49831,358
1.0,58304,305
1.0,47599,354
1.0,33427,344
1.0,40301,348
0.06263048016701461,45909,347
1.0,43400,333
0.9521553765987684,64339,356
0.1391092129347163,43055,319
0.052128865144892345,43668,321
1.0,51422,357
1.0,51999,338
1.0,57572,350
1.0,51185,352
0.9946236559139785,44342,342
0.919431279620853,64475,376
1.0,54031,359
1.0,42736,369
1.0,43734,370
0.09619616472807294,45178,360
1.0,62119,353
1.0,60147,368
0.9990277102576568,33278,349
0.9776566757493188,64437,363
1.0,55347,365
0.9994138335287222,46957,367
1.0,63756,366
0.9961206896551724,62053,364
1.0,41740,346
0.1883080382237212,38770,375
1.0,51629,372
1.0,56726,380
1.0,50655,324
1.0,33288,341
1.0,35233,388
1.0,60659,371
0.9955817378497791,57910,385
1.0,44406,382
1.0,46433,386
0.06274731486715658,51734,378
1.0,42454,374
0.9929742388758782,49432,387
1.0,49270,379
0.5682859761686526,48212,394
1.0,52561,395
0.9979959919839679,41907,397
0.9991103202846975,49725,383
1.0,62075,361
1.0,54287,373
1.0,6075,405
0.9968769519050593,64231,396
1.0,48038,389
0.9996477632969355,60843,399
0.03495723317218297,49091,362
1.0,7731,400
1.0,60992,377
0.0149812734082397,54578,320
0.9988562714449104,51569,392
1.0,6292,402
1.0,7376,410
0.13798033958891867,38266,384
1.0,5224,406
1.0,34465,393
1.0,6370,407
1.0,6370,404
0.039080062251426594,7007,403
1.0,5684,415
0.023553719008264463,7435,401
1.0,50532,398
1.0,6998,409
1.0,6838,411
1.0,55067,381
0.9702244617498855,5693,421
0.9981776765375854,6774,422
1.0,6889,430
1.0,4932,414
1.0,40962,390
1.0,5795,413
1.0,6382,423
1.0,5849,408
1.0,5725,416
0.0045377197958026095,4491,412
1.0,6118,429
1.0,6365,419
1.0,6384,418
1.0,6119,426
1.0,5927,420
1.0,5365,432
1.0,5088,417
1.0,4484,437
1.0,5464,425
0.08455565142364108,6472,424
1.0,6214,434
0.993517017828201,6821,444
1.0,5479,441
1.0,5615,431
1.0,6651,428
1.0,6851,439
0.02710027100271003,5371,442
0.055150040551500405,7613,451
1.0,6318,427
1.0,6328,438
1.0,4695,453
1.0,7078,443
1.0,4518,440
1.0,6877,433
1.0,5496,448
1.0,7826,458
1.0,6537,436
1.0,5715,457
1.0,6811,464
0.9986928104575163,5735,455
1.0,5804,462
0.9995071463775259,7106,461
1.0,7064,450
1.0,6332,449
1.0,6718,463
0.0874530918583782,64684,391
1.0,7524,456
1.0,6246,445
1.0,6877,454
1.0,5599,459
1.0,6095,447
1.0,5338,446
1.0,4315,474
1.0,6176,470
0.14082687338501293,6022,473
0.9984962406015038,5338,476
1.0,4361,485
1.0,5336,471
1.0,5610,475
1.0,7161,452
0.5097370983446933,7197,481
0.04240282685512368,7208,467
1.0,5815,468
1.0,5112,472
1.0,6814,489
1.0,5878,465
1.0,5618,490
1.0,5263,478
1.0,7609,466
0.12314570209307052,5971,491
1.0,5697,482
1.0,6882,479
1.0,7268,460
0.35233160621761656,4993,488
1.0,7350,483
1.0,5355,484
1.0,6315,487
1.0,6280,499
1.0,7305,492
1.0,7489,494
1.0,5553,495
0.1317365269461078,6221,486
1.0,5648,493
1.0,5225,498
1.0,6482,497
1.0,163584,6
0.10060807075732449,6154,477
1.0,6231,480
0.0,6442,435
0.9461834157056562,4374,496
1.0,76409,602
0.9972776769509982,87817,600
1.0,113479,620
1.0,93217,604
1.0,95961,624
0.9995627459554001,77753,615
1.0,85145,608
1.0,67239,618
0.7818383167220376,81658,611
1.0,107593,610
1.0,104689,616
0.9986213235294118,81875,613
1.0,75723,612
1.0,128466,629
1.0,111055,614
0.007892659826361484,99810,619
0.9977074736359468,111647,622
0.9969879518072289,96159,627
1.0,95168,607
1.0,96744,621
1.0,108242,630
1.0,114655,632
1.0,130690,626
0.004282655246252677,106507,631
1.0,69838,639
1.0,74621,636
1.0,118724,625
1.0,97169,642
1.0,116889,623
1.0,67267,605
0.9995246395183014,106996,628
1.0,95806,617
1.0,94125,609
1.0,73268,638
1.0,73829,647
0.046875,109162,650
1.0,94604,634
1.0,130658,644
0.035053554040895815,115384,633
1.0,118619,660
1.0,129628,635
0.1397984886649874,103891,658
1.0,119857,646
0.00407955124936257,71616,606
0.5895522388059702,99947,643
0.8608554412560909,93554,661
1.0,71175,659
1.0,90360,654
0.9986899563318777,78629,640
0.9991546914623838,106716,648
1.0,99745,601
0.04421052631578947,71175,649
1.0,87230,664
0.9495139542176231,89487,653
1.0,99267,651
0.983117816091954,98283,645
1.0,68969,641
1.0,123175,665
0.9985401459854014,86936,656
0.9981132075471698,74125,676
0.01023541453428864,5318,469
0.13598673300165837,91747,657
0.9927536231884058,78044,668
0.997093023255814,91581,669
0.999647266313933,92738,675
0.1604180867984549,110705,681
0.9956286963229622,72053,662
0.995221027479092,109082,671
0.35148514851485146,106462,680
1.0,76411,670
0.3509865005192108,126708,677
1.0,71849,679
1.0,93122,674
1.0,69688,637
1.0,81650,603
0.15710573655806517,105255,655
0.12097916245195225,128815,685
0.9973890339425587,72598,690
1.0,93926,682
1.0,68316,652
1.0,129221,687
1.0,117762,666
0.9967320261437909,95204,686
1.0,74445,684
1.0,119914,678
1.0,84811,691
1.0,93753,698
1.0,89399,688
1.0,72239,699
1.0,70194,689
1.0,118824,667
1.0,11816,707
1.0,109658,672
1.0,78747,683
0.832183908045977,115863,692
0.03181568842567197,12498,706
1.0,12363,708
1.0,12027,703
1.0,9716,711
0.17557251908396945,71976,695
1.0,8834,710
1.0,66679,663
1.0,12105,713
0.04038946988820772,105639,673
1.0,68670,693
0.989010989010989,11173,712
0.9882988298829883,12702,709
0.9973009446693657,10364,715
1.0,106149,696
1.0,125721,694
1.0,8990,700
