grade,token_count,row,prompt_char_count,real_prompt_tokens,updated_token_ratio
1.0,28788,108,135535,28788,0.23386978999328212
1.0,30058,125,140014,30058,0.23386978999328212
1.0,23026,104,108152,23026,0.23386978999328212
1.0,22541,111,104652,22541,0.23386978999328212
1.0,31927,116,150731,31927,0.23386978999328212
0.14563106796116504,34019,113,151163,34019,0.23386978999328212
1.0,16975,102,77461,16975,0.23386978999328212
1.0,23455,123,107751,23455,0.23386978999328212
1.0,145702,87,673594,145702,0.2179233721463977
1.0,144359,56,661992,144359,0.2179233721463977
1.0,24733,118,118920,24733,0.2179233721463977
0.026953125,137999,78,630630,137999,0.2179233721463977
1.0,16461,103,81071,16461,0.2179233721463977
1.0,21635,114,101435,21635,0.2179233721463977
1.0,156675,82,719678,156675,0.2179233721463977
1.0,151285,33,700681,151285,0.2179233721463977
1.0,18391,109,85124,18391,0.2179233721463977
1.0,151017,20,702607,151017,0.2179233721463977
0.08455138295480098,160630,14,750064,160630,0.21595988934000415
1.0,151129,0,704124,151129,0.21595988934000415
1.0,32843,106,150755,32843,0.21595988934000415
0.08647140864714087,139598,71,648366,139598,0.21595988934000415
1.0,29250,119,137795,29250,0.21595988934000415
1.0,144947,57,666248,144947,0.21595988934000415
1.0,19980,135,89432,19980,0.21595988934000415
1.0,18321,100,84842,18321,0.21595988934000415
1.0,158627,74,733880,158627,0.21595988934000415
1.0,151956,94,711228,151956,0.21595988934000415
1.0,25702,129,117084,25702,0.21618322004656434
1.0,30702,105,139036,30702,0.21618322004656434
1.0,26438,112,117279,26438,0.21618322004656434
1.0,28147,120,131484,28147,0.21618322004656434
1.0,26703,115,122517,26703,0.21618322004656434
1.0,17939,124,89283,17939,0.21618322004656434
1.0,28288,136,127480,28288,0.21618322004656434
1.0,27638,122,125080,27638,0.21618322004656434
1.0,146793,48,682583,146793,0.21618322004656434
1.0,19523,132,86581,19523,0.21618322004656434
1.0,21219,107,97342,21219,0.21665212200029002
1.0,24502,126,110839,24502,0.21665212200029002
1.0,25276,127,118598,25276,0.21665212200029002
1.0,24290,121,106019,24290,0.21665212200029002
