grade,token_count,row,prompt_char_count,real_prompt_tokens,updated_token_ratio
1.0,23000,104,108152,23000,0.23360691649385168
1.0,22633,111,104652,22633,0.23360691649385168
1.0,33246,106,150755,33246,0.23360691649385168
1.0,33674,113,151163,33674,0.23360691649385168
1.0,21734,114,101435,21734,0.23360691649385168
1.0,17023,102,77461,17023,0.23360691649385168
1.0,26737,115,122517,26737,0.23360691649385168
1.0,16632,103,81071,16632,0.23360691649385168
1.0,18314,109,85124,18314,0.21783927936334568
1.0,18379,100,84842,18379,0.21783927936334568
1.0,21770,110,103337,21770,0.21783927936334568
1.0,29124,108,135535,29124,0.21783927936334568
1.0,25101,118,118920,25101,0.21783927936334568
1.0,21267,107,97342,21267,0.21783927936334568
1.0,26151,112,117279,26151,0.21783927936334568
1.0,32175,116,150731,32175,0.21783927936334568
0.03369434416365824,145017,56,661992,145017,0.21783927936334568
1.0,30746,105,139036,30746,0.21783927936334568
1.0,29580,119,137795,29580,0.21707142890085693
1.0,32326,128,148677,32326,0.21707142890085693
1.0,20156,117,96203,20156,0.21707142890085693
1.0,152131,0,704124,152131,0.21707142890085693
1.0,152129,20,702607,152129,0.21707142890085693
1.0,146329,87,673594,146329,0.21707142890085693
1.0,31206,101,141221,31206,0.21707142890085693
1.0,157095,82,719678,157095,0.21707142890085693
0.03519798868636078,159615,74,733880,159615,0.21707142890085693
1.0,28288,136,127480,28288,0.21707142890085693
1.0,18184,124,89283,18184,0.21668344566563033
1.0,19590,132,86581,19590,0.21668344566563033
1.0,143316,45,664473,143316,0.21668344566563033
1.0,28156,120,131484,28156,0.21668344566563033
1.0,24614,126,110839,24614,0.21668344566563033
1.0,24764,131,107863,24764,0.21668344566563033
1.0,20006,135,89432,20006,0.21668344566563033
1.0,18314,130,85001,18314,0.21668344566563033
1.0,140303,71,648366,140303,0.21668344566563033
1.0,23405,123,107751,23405,0.21668344566563033
1.0,24079,121,106019,24079,0.21770329633807012
1.0,151574,33,700681,151574,0.21770329633807012
1.0,148518,48,682583,148518,0.21770329633807012
1.0,25870,129,117084,25870,0.21770329633807012
1.0,30440,125,140014,30440,0.21770329633807012
1.0,25201,127,118598,25201,0.21770329633807012
1.0,27475,122,125080,27475,0.21770329633807012
1.0,31592,137,148777,31592,0.21770329633807012
0.03790613718411552,145547,57,666248,145547,0.21770329633807012
1.0,33606,133,145851,33606,0.21770329633807012
1.0,22040,139,103797,22040,0.21772201591270793
1.0,17890,144,83155,17890,0.21772201591270793
1.0,28294,143,128212,28294,0.21772201591270793
1.0,17317,151,77617,17317,0.21772201591270793
1.0,31159,141,143056,31159,0.21772201591270793
1.0,18577,134,86772,18577,0.21772201591270793
1.0,17009,147,79390,17009,0.21772201591270793
1.0,28936,140,133065,28936,0.21772201591270793
1.0,23685,148,107180,23685,0.21772201591270793
1.0,24816,149,110613,24816,0.21772201591270793
1.0,32622,138,155569,32622,0.21772770267776004
1.0,29564,150,134009,29564,0.21772770267776004
1.0,32542,142,153491,32542,0.21772770267776004
1.0,16954,152,76524,16954,0.21772770267776004
1.0,23240,145,109313,23240,0.21772770267776004
1.0,24770,155,113718,24770,0.21772770267776004
1.0,24804,154,111431,24804,0.21772770267776004
1.0,21109,159,92954,21109,0.21772770267776004
1.0,26479,156,123779,26479,0.21772770267776004
1.0,18589,164,84298,18589,0.21772770267776004
1.0,22788,167,106865,22788,0.21779459935072168
1.0,28172,146,125279,28172,0.21779459935072168
1.0,29442,158,140615,29442,0.21779459935072168
0.9870812349463542,153001,94,711228,153001,0.21779459935072168
0.9762975071516142,138700,78,630630,138700,0.21779459935072168
0.07347270144103918,146792,64,672328,146792,0.21779459935072168
1.0,146700,88,684263,146700,0.21779459935072168
0.998158379373849,30679,157,140298,30679,0.21779459935072168
1.0,21703,174,98709,21703,0.21779459935072168
1.0,32121,153,149166,32121,0.21779459935072168
0.9995269631031221,21313,160,91041,21313,0.21794552320508806
1.0,16958,162,73412,16958,0.21794552320508806
1.0,24585,166,115089,24585,0.21794552320508806
1.0,31890,173,147795,31890,0.21794552320508806
1.0,18552,171,81166,18552,0.21794552320508806
1.0,23173,161,111526,23173,0.21794552320508806
1.0,18614,169,81455,18614,0.21794552320508806
1.0,30852,170,139411,30852,0.21794552320508806
1.0,18296,177,79819,18296,0.21794552320508806
1.0,32511,165,152171,32511,0.21794552320508806
1.0,22219,176,104246,22219,0.21820229091437146
1.0,26986,168,119330,26986,0.21820229091437146
1.0,25168,163,111917,25168,0.21820229091437146
1.0,32037,191,141613,32037,0.21820229091437146
0.19175729822552948,147063,70,672697,147063,0.21820229091437146
0.08455138295480098,162453,14,750064,162453,0.21820229091437146
1.0,22895,181,97640,22895,0.21820229091437146
1.0,19196,182,87931,19196,0.21820229091437146
1.0,145405,7,663528,145405,0.21820229091437146
1.0,20029,186,90822,20029,0.21820229091437146
1.0,25478,183,116238,25478,0.21862313898269656
1.0,22647,179,104258,22647,0.21862313898269656
1.0,29010,178,135199,29010,0.21862313898269656
1.0,24335,184,112906,24335,0.21862313898269656
1.0,165256,89,763351,165256,0.21862313898269656
1.0,29824,190,132094,29824,0.21862313898269656
1.0,28131,172,123440,28131,0.21862313898269656
1.0,18651,175,80421,18651,0.21862313898269656
1.0,19666,180,91779,19666,0.21862313898269656
1.0,28177,193,130611,28177,0.21862313898269656
1.0,18635,198,85809,18635,0.2187171998842524
1.0,24869,187,118132,24869,0.2187171998842524
1.0,19098,192,90927,19098,0.2187171998842524
