grade,token_count,row
1.0,152067,0
1.0,162310,1
1.0,229441,2
0.11606925140209705,235460,3
1.0,239416,4
1.0,217297,5
0.056128293241695305,168944,6
0.010067114093959731,145343,7
1.0,186283,8
0.032547889472791997,193451,9
1.0,190721,10
1.0,186149,11
0.06594624549736769,216594,12
1.0,184825,13
0.08455138295480098,162382,14
1.0,201706,15
0.9898348157560356,230941,16
0.03395889186773905,204745,17
0.07740825688073394,225699,18
1.0,190340,19
1.0,152063,20
1.0,230657,21
0.029594272076372316,207466,22
1.0,217230,24
0.21093903156243873,207870,25
0.01535735380980508,212195,26
1.0,175953,27
1.0,215925,28
1.0,174075,29
1.0,209930,30
0.04970873786407767,201984,31
1.0,140961,32
1.0,151504,33
1.0,180836,34
1.0,182505,35
1.0,182576,37
1.0,189469,38
0.11143695014662756,216993,39
1.0,232716,41
1.0,229270,42
0.014858841010401188,205052,44
1.0,143243,45
1.0,185470,46
0.9966901117087298,234328,47
1.0,148436,48
1.0,168004,50
1.0,197825,52
1.0,219778,53
0.01799417835406192,234102,54
1.0,190981,55
0.03369434416365824,144958,56
1.0,145487,57
1.0,188805,60
1.0,214621,62
1.0,146729,64
0.9994340690435767,189806,68
1.0,146997,70
1.0,140248,71
0.9994538503549972,201939,72
1.0,214435,73
1.0,159537,74
1.0,199577,75
1.0,186943,76
1.0,232738,77
1.0,138643,78
1.0,197878,79
1.0,210598,80
1.0,213070,81
1.0,157011,82
0.10777016969336112,241525,83
0.9991993594875901,183928,84
0.9989939637826962,233999,85
1.0,220907,86
1.0,146263,87
0.050422705314009664,146638,88
1.0,165180,89
0.018351685018351684,233812,91
1.0,227959,92
1.0,201057,93
1.0,152935,94
0.0554463232402674,226726,95
0.9994659070678298,177078,96
1.0,205293,99
1.0,18369,100
1.0,31182,101
1.0,17017,102
1.0,16626,103
1.0,22986,104
1.0,30736,105
1.0,33232,106
1.0,21251,107
1.0,29116,108
1.0,18303,109
1.0,21762,110
1.0,22624,111
1.0,26142,112
1.0,33651,113
1.0,21725,114
1.0,26720,115
0.0,32163,116
1.0,20147,117
1.0,25086,118
1.0,29571,119
1.0,28148,120
1.0,24063,121
1.0,27459,122
1.0,23394,123
1.0,18177,124
1.0,30432,125
1.0,24599,126
1.0,25192,127
1.0,32308,128
1.0,25857,129
1.0,18308,130
1.0,24746,131
1.0,19582,132
1.0,33589,133
1.0,18572,134
1.0,19996,135
1.0,28277,136
1.0,31584,137
1.0,32613,138
1.0,22027,139
1.0,28921,140
1.0,31148,141
1.0,32531,142
1.0,28274,143
1.0,17882,144
1.0,23232,145
1.0,28153,146
1.0,17001,147
0.0,23676,148
1.0,24806,149
1.0,29547,150
1.0,17315,151
1.0,16950,152
0.16982654296087132,32101,153
1.0,24795,154
1.0,24757,155
1.0,26472,156
1.0,30657,157
1.0,29423,158
1.0,21100,159
1.0,21305,160
1.0,23165,161
0.9991652754590985,16952,162
1.0,25156,163
1.0,18578,164
1.0,32498,165
1.0,24573,166
1.0,22777,167
1.0,26974,168
1.0,18607,169
1.0,30840,170
1.0,18537,171
1.0,28117,172
1.0,31881,173
1.0,21698,174
1.0,18641,175
1.0,22206,176
1.0,18285,177
1.0,29000,178
1.0,22642,179
1.0,19655,180
1.0,22890,181
1.0,19186,182
1.0,25464,183
1.0,24323,184
1.0,21604,185
1.0,20019,186
1.0,24860,187
1.0,28423,188
1.0,31371,189
1.0,29802,190
1.0,32022,191
1.0,19091,192
1.0,28164,193
1.0,24355,194
1.0,24369,195
1.0,31105,196
1.0,31520,197
1.0,18629,198
1.0,20994,199
1.0,40639,300
0.15600624024961,61657,301
1.0,60911,302
1.0,59706,303
1.0,61554,304
1.0,60322,305
1.0,36633,306
1.0,40438,307
1.0,53129,308
1.0,44159,309
1.0,52860,310
1.0,39530,311
0.9986111111111111,38350,312
1.0,55152,313
1.0,34480,314
1.0,67822,315
1.0,50224,316
0.09081527347781218,39653,317
1.0,56061,318
0.1391092129347163,44452,319
0.014973262032085561,56462,320
1.0,45160,321
1.0,66458,322
1.0,63188,323
1.0,52466,324
1.0,53742,325
1.0,61280,326
1.0,63910,327
0.9995507637017071,57901,328
1.0,63481,329
1.0,41451,330
1.0,51620,331
1.0,38254,332
1.0,44900,333
1.0,59555,334
1.0,40978,335
1.0,58655,336
1.0,37832,337
1.0,53803,338
1.0,41641,339
1.0,49751,340
1.0,34473,341
1.0,45905,342
1.0,57427,343
1.0,34609,344
1.0,41550,345
1.0,43205,346
1.0,47488,347
1.0,41590,348
1.0,34404,349
1.0,59544,350
1.0,65071,351
1.0,53023,352
1.0,64293,353
1.0,49514,354
0.07064868336544637,42557,355
1.0,66592,356
1.0,53220,357
0.9937888198757764,51507,358
1.0,55963,359
0.09795918367346938,46712,360
1.0,64325,361
1.0,50727,362
1.0,66636,363
1.0,64201,364
1.0,57337,365
0.9992609016999261,65854,366
1.0,48424,367
0.10301953818827708,62109,368
1.0,44248,369
1.0,45301,370
1.0,62591,371
1.0,53382,372
1.0,56122,373
1.0,43913,374
0.999438202247191,39996,375
1.0,66730,376
1.0,63039,377
1.0,53486,378
1.0,50984,379
1.0,58536,380
1.0,56905,381
1.0,45742,382
0.07271095152603231,51287,383
1.0,39584,384
1.0,59981,385
1.0,48130,386
1.0,51186,387
1.0,36368,388
1.0,49727,389
1.0,42452,390
1.0,67014,391
1.0,53301,392
1.0,35699,393
1.0,49999,394
1.0,54284,395
1.0,66275,396
1.0,43380,397
1.0,52276,398
1.0,63146,399
1.0,7993,400
1.0,7620,401
1.0,6462,402
1.0,7195,403
1.0,6521,404
1.0,6357,405
1.0,5324,406
1.0,6580,407
1.0,5972,408
1.0,7219,409
1.0,7604,410
1.0,7038,411
0.0045377197958026095,4655,412
1.0,5969,413
1.0,5038,414
1.0,5860,415
1.0,5819,416
1.0,5170,417
1.0,6576,418
1.0,6584,419
1.0,6001,420
0.9962078964978809,5834,421
1.0,6950,422
1.0,6548,423
1.0,6622,424
1.0,5634,425
1.0,6298,426
1.0,6416,427
1.0,6816,428
1.0,6364,429
1.0,7070,430
1.0,5726,431
1.0,5538,432
1.0,6982,433
1.0,6377,434
1.0,6681,435
1.0,6734,436
1.0,4567,437
1.0,6434,438
1.0,6985,439
1.0,4631,440
1.0,5625,441
1.0,5495,442
1.0,7319,443
0.9991889699918897,7016,444
1.0,6413,445
1.0,5502,446
1.0,6193,447
1.0,5615,448
1.0,6584,449
1.0,7267,450
0.9994952044422009,7780,451
1.0,7385,452
1.0,4864,453
1.0,7043,454
1.0,5885,455
1.0,7696,456
1.0,5819,457
1.0,8092,458
1.0,5768,459
1.0,7498,460
1.0,7322,461
1.0,5881,462
1.0,6885,463
1.0,7085,464
1.0,6012,465
0.9992248062015504,7810,466
0.9992181391712275,7485,467
0.9995519713261649,5946,468
1.0,5504,469
1.0,6358,470
1.0,5492,471
1.0,5290,472
1.0,6132,473
1.0,4393,474
1.0,5677,475
1.0,5503,476
1.0,6342,477
1.0,5422,478
1.0,7115,479
1.0,6384,480
1.0,7387,481
1.0,5755,482
1.0,7551,483
1.0,5564,484
1.0,4493,485
0.14802947773149633,6474,486
1.0,6462,487
1.0,5155,488
1.0,6995,489
1.0,5774,490
0.17816527672479152,6104,491
1.0,7436,492
1.0,5702,493
1.0,7671,494
1.0,5798,495
0.9997393797237425,4510,496
1.0,6630,497
1.0,5360,498
1.0,6450,499
1.0,90756,600
1.0,103071,601
1.0,79061,602
0.9743281187324508,84270,603
1.0,96597,604
1.0,69612,605
0.0065252854812398045,74153,606
1.0,98583,607
1.0,87960,608
1.0,97420,609
1.0,111371,610
1.0,84296,611
1.0,78274,612
1.0,84581,613
1.0,114824,614
1.0,80498,615
1.0,108216,616
1.0,99120,617
1.0,69706,618
0.010101010101010102,103120,619
1.0,117445,620
1.0,100160,621
1.0,115451,622
1.0,120928,623
1.0,99310,624
1.0,122824,625
0.02054380664652568,135306,626
0.10824313072439634,99332,627
0.02338530066815145,110451,628
1.0,132745,629
1.0,112188,630
0.004282655246252677,110341,631
1.0,118662,632
1.0,119471,633
1.0,97603,634
1.0,133915,635
1.0,77200,636
1.0,72022,637
1.0,75823,638
1.0,72260,639
1.0,81179,640
1.0,71129,641
1.0,100526,642
0.9956656346749226,103429,643
1.0,135295,644
1.0,101532,645
1.0,123973,646
1.0,76310,647
1.0,110370,648
1.0,73621,649
0.966078697421981,112735,650
0.02564102564102564,102729,651
0.9986905281536447,70691,652
1.0,92676,653
1.0,93410,654
1.0,108868,655
1.0,89758,656
1.0,94916,657
0.009787928221859706,107628,658
1.0,73744,659
1.0,122643,660
1.0,96622,661
1.0,74606,662
1.0,68778,663
1.0,90219,664
1.0,127181,665
1.0,121887,666
1.0,123022,667
1.0,80645,668
1.0,94829,669
0.9996167113836719,78979,670
1.0,112812,671
1.0,113456,672
1.0,109284,673
1.0,96574,674
1.0,95852,675
1.0,76819,676
1.0,131038,677
1.0,124156,678
1.0,74367,679
1.0,109966,680
1.0,114454,681
1.0,97148,682
1.0,81450,683
1.0,76934,684
0.999271137026239,133071,685
0.9991823385118561,98523,686
1.0,133749,687
1.0,92491,688
1.0,72528,689
1.0,75008,690
1.0,87577,691
1.0,119983,692
1.0,71205,693
1.0,130002,694
