grade,token_count,row,prompt_char_count,real_prompt_tokens,updated_token_ratio
1.0,33651,113,151163,33651,0.23346087566083476
1.0,30432,125,140014,30432,0.23346087566083476
1.0,22624,111,104652,22624,0.23346087566083476
1.0,21251,107,97342,21251,0.23346087566083476
1.0,25086,118,118920,25086,0.23346087566083476
1.0,33232,106,150755,33232,0.23346087566083476
1.0,32308,128,148677,32308,0.23346087566083476
1.0,32163,116,150731,32163,0.23346087566083476
1.0,18303,109,85124,18303,0.21850053019101914
1.0,24063,121,106019,24063,0.21850053019101914
1.0,21762,110,103337,21762,0.21850053019101914
1.0,18177,124,89283,18177,0.21850053019101914
1.0,20147,117,96203,20147,0.21850053019101914
1.0,29116,108,135535,29116,0.21850053019101914
1.0,29571,119,137795,29571,0.21850053019101914
1.0,17017,102,77461,17017,0.21850053019101914
1.0,31182,101,141221,31182,0.21850053019101914
1.0,24599,126,110839,24599,0.21850053019101914
1.0,21725,114,101435,21725,0.21707998682937898
1.0,25857,129,117084,25857,0.21707998682937898
1.0,26720,115,122517,26720,0.21707998682937898
1.0,25192,127,118598,25192,0.21707998682937898
1.0,30736,105,139036,30736,0.21707998682937898
1.0,23394,123,107751,23394,0.21707998682937898
1.0,26142,112,117279,26142,0.21707998682937898
1.0,16626,103,81071,16626,0.21707998682937898
1.0,27459,122,125080,27459,0.21707998682937898
1.0,33589,133,145851,33589,0.21707998682937898
1.0,22986,104,108152,22986,0.21738237920513728
1.0,19996,135,89432,19996,0.21738237920513728
0.9988313206077133,18369,100,84842,18369,0.21738237920513728
1.0,28277,136,127480,28277,0.21738237920513728
1.0,28148,120,131484,28148,0.21738237920513728
1.0,19582,132,86581,19582,0.21738237920513728
1.0,31584,137,148777,31584,0.21738237920513728
1.0,18308,130,85001,18308,0.21738237920513728
1.0,31148,141,143056,31148,0.21738237920513728
1.0,28274,143,128212,28274,0.21738237920513728
1.0,22027,139,103797,22027,0.21754449839408524
1.0,24806,149,110613,24806,0.21754449839408524
1.0,23676,148,107180,23676,0.21754449839408524
1.0,17882,144,83155,17882,0.21754449839408524
1.0,23232,145,109313,23232,0.21754449839408524
0.059728183118741056,32613,138,155569,32613,0.21754449839408524
1.0,24757,155,113718,24757,0.21754449839408524
1.0,18572,134,86772,18572,0.21754449839408524
1.0,28921,140,133065,28921,0.21754449839408524
1.0,16950,152,76524,16950,0.21754449839408524
1.0,32531,142,153491,32531,0.21733338607981942
1.0,26472,156,123779,26472,0.21733338607981942
1.0,24746,131,107863,24746,0.21733338607981942
1.0,29547,150,134009,29547,0.21733338607981942
1.0,17001,147,79390,17001,0.21733338607981942
1.0,24795,154,111431,24795,0.21733338607981942
1.0,30657,157,140298,30657,0.21733338607981942
1.0,18578,164,84298,18578,0.21733338607981942
1.0,17315,151,77617,17315,0.21733338607981942
1.0,21100,159,92954,21100,0.21733338607981942
1.0,32498,165,152171,32498,0.2178272856770975
0.14919272430002042,32101,153,149166,32101,0.2178272856770975
1.0,28153,146,125279,28153,0.2178272856770975
1.0,16952,162,73412,16952,0.2178272856770975
1.0,25156,163,111917,25156,0.2178272856770975
1.0,23165,161,111526,23165,0.2178272856770975
1.0,24573,166,115089,24573,0.2178272856770975
1.0,18607,169,81455,18607,0.2178272856770975
1.0,31881,173,147795,31881,0.2178272856770975
1.0,21305,160,91041,21305,0.2178272856770975
1.0,29423,158,140615,29423,0.21819827437592965
1.0,26974,168,119330,26974,0.21819827437592965
1.0,21698,174,98709,21698,0.21819827437592965
1.0,22777,167,106865,22777,0.21819827437592965
1.0,18537,171,81166,18537,0.21819827437592965
1.0,30840,170,139411,30840,0.21819827437592965
1.0,22642,179,104258,22642,0.21819827437592965
1.0,25464,183,116238,25464,0.21819827437592965
1.0,22206,176,104246,22206,0.21819827437592965
1.0,32022,191,141613,32022,0.21819827437592965
1.0,19186,182,87931,19186,0.21845067249758282
1.0,19655,180,91779,19655,0.21845067249758282
1.0,22890,181,97640,22890,0.21845067249758282
1.0,28117,172,123440,28117,0.21845067249758282
1.0,20019,186,90822,20019,0.21845067249758282
1.0,18285,177,79819,18285,0.21845067249758282
1.0,21604,185,101126,21604,0.21845067249758282
1.0,18641,175,80421,18641,0.21845067249758282
1.0,29000,178,135199,29000,0.21845067249758282
1.0,28423,188,132921,28423,0.21845067249758282
1.0,59706,303,273584,59706,0.21882130901172128
1.0,29802,190,132094,29802,0.21882130901172128
1.0,19091,192,90927,19091,0.21882130901172128
0.15843465045592706,61657,301,287615,61657,0.21882130901172128
1.0,31105,196,149639,31105,0.21882130901172128
0.06445755787562416,24369,195,109236,24369,0.21882130901172128
1.0,50224,316,229024,50224,0.21882130901172128
1.0,53129,308,245300,53129,0.21882130901172128
1.0,67822,315,310765,67822,0.21882130901172128
1.0,28164,193,130611,28164,0.21882130901172128
1.0,20994,199,97598,20994,0.21859680896360628
1.0,36633,306,166642,36633,0.21859680896360628
1.0,24323,184,112906,24323,0.21859680896360628
1.0,24355,194,119360,24355,0.21859680896360628
1.0,40639,300,187664,40639,0.21859680896360628
1.0,56061,318,260119,56061,0.21859680896360628
1.0,31371,189,144628,31371,0.21859680896360628
1.0,24860,187,118132,24860,0.21859680896360628
1.0,31520,197,144861,31520,0.21859680896360628
1.0,60911,302,286729,60911,0.21859680896360628
0.014973262032085561,56462,320,266702,56462,0.21818304238714797
1.0,34480,314,154034,34480,0.21818304238714797
1.0,39530,311,185203,39530,0.21818304238714797
1.0,38350,312,177800,38350,0.21818304238714797
1.0,63188,323,295128,63188,0.21818304238714797
1.0,40438,307,184100,40438,0.21818304238714797
1.0,18629,198,85809,18629,0.21818304238714797
1.0,61554,304,288308,61554,0.21818304238714797
1.0,44159,309,201408,44159,0.21818304238714797
1.0,60322,305,282971,60322,0.21818304238714797
1.0,44452,319,200027,44452,0.21810104342241748
1.0,41451,330,191027,41451,0.21810104342241748
1.0,45160,321,209804,45160,0.21810104342241748
1.0,61280,326,278793,61280,0.21810104342241748
1.0,45905,342,212328,45905,0.21810104342241748
0.0408285800060042,44900,333,212220,44900,0.21810104342241748
1.0,59555,334,274948,59555,0.21810104342241748
1.0,47488,347,217874,47488,0.21810104342241748
1.0,57901,328,264184,57901,0.21810104342241748
1.0,52466,324,242331,52466,0.21810104342241748
1.0,63910,327,297500,63910,0.21797695212378154
1.0,51620,331,238316,51620,0.21797695212378154
1.0,55152,313,246113,55152,0.21797695212378154
1.0,37832,337,176456,37832,0.21797695212378154
1.0,63481,329,299185,63481,0.21797695212378154
1.0,41641,339,194662,41641,0.21797695212378154
0.09081527347781218,39653,317,183380,39653,0.21797695212378154
1.0,41550,345,184822,41550,0.21797695212378154
1.0,34609,344,155381,34609,0.21797695212378154
1.0,38254,332,184864,38254,0.21797695212378154
1.0,58655,336,269914,58655,0.21790152922198575
0.9991405242801891,66458,322,304242,66458,0.21790152922198575
