bin,models
<5000,"ds-3.1-it_2needle=0.892384|n=39, ds-3.1-thinking_2needle=0.971821|n=39, ds-3.2-it_2needle=0.950424|n=39, ds-3.2-thinking_2needle=0.971007|n=39, minimax-m2_2needle=0.633573|n=39"
<8000,"ds-3.1-it_2needle=0.820529|n=103, ds-3.1-thinking_2needle=0.963227|n=103, ds-3.2-it_2needle=0.898393|n=103, ds-3.2-thinking_2needle=0.960485|n=103, minimax-m2_2needle=0.582753|n=103"
<10000,"ds-3.1-it_2needle=0.783925|n=123, ds-3.1-thinking_2needle=0.963913|n=123, ds-3.2-it_2needle=0.866208|n=123, ds-3.2-thinking_2needle=0.957196|n=123, minimax-m2_2needle=0.561186|n=123"
<20000,"ds-3.1-it_2needle=0.728801|n=220, ds-3.1-thinking_2needle=0.916820|n=220, ds-3.2-it_2needle=0.801679|n=220, ds-3.2-thinking_2needle=0.916374|n=220, minimax-m2_2needle=0.511251|n=220"
<30000,"ds-3.1-it_2needle=0.678830|n=290, ds-3.1-thinking_2needle=0.873702|n=290, ds-3.2-it_2needle=0.734075|n=290, ds-3.2-thinking_2needle=0.877954|n=290, minimax-m2_2needle=0.489251|n=290"
<40000,"ds-3.1-it_2needle=0.664228|n=325, ds-3.1-thinking_2needle=0.861490|n=325, ds-3.2-it_2needle=0.724812|n=325, ds-3.2-thinking_2needle=0.860173|n=325, minimax-m2_2needle=0.477724|n=325"
<50000,"ds-3.1-it_2needle=0.644681|n=356, ds-3.1-thinking_2needle=0.835940|n=356, ds-3.2-it_2needle=0.705896|n=356, ds-3.2-thinking_2needle=0.839976|n=356, minimax-m2_2needle=0.461794|n=356"
<60000,"ds-3.1-it_2needle=0.634046|n=391, ds-3.1-thinking_2needle=0.807331|n=391, ds-3.2-it_2needle=0.691356|n=391, ds-3.2-thinking_2needle=0.823131|n=391, minimax-m2_2needle=0.446876|n=391"
<70000,"ds-3.1-it_2needle=0.625243|n=409, ds-3.1-thinking_2needle=0.793481|n=409, ds-3.2-it_2needle=0.679715|n=409, ds-3.2-thinking_2needle=0.809626|n=409, minimax-m2_2needle=0.441565|n=409"
<80000,"ds-3.1-it_2needle=0.616496|n=424, ds-3.1-thinking_2needle=0.780809|n=424, ds-3.2-it_2needle=0.666093|n=424, ds-3.2-thinking_2needle=0.794773|n=424, minimax-m2_2needle=0.432079|n=424"
<90000,"ds-3.1-it_2needle=0.606773|n=444, ds-3.1-thinking_2needle=0.767475|n=444, ds-3.2-it_2needle=0.659057|n=444, ds-3.2-thinking_2needle=0.785153|n=444, minimax-m2_2needle=0.424556|n=444"
<100000,"ds-3.1-it_2needle=0.600391|n=462, ds-3.1-thinking_2needle=0.757602|n=462, ds-3.2-it_2needle=0.653822|n=462, ds-3.2-thinking_2needle=0.773043|n=462, minimax-m2_2needle=0.417281|n=463"
<115200,"ds-3.1-it_2needle=0.594722|n=484, ds-3.1-thinking_2needle=0.743120|n=484, ds-3.2-it_2needle=0.644123|n=484, ds-3.2-thinking_2needle=0.756918|n=484, minimax-m2_2needle=0.406282|n=485"
